DICE_COUNT, MIN_VAL, PROBABILITY 
1,1,100
1,2,83.3333333333
1,3,66.66666666660001
1,4,49.99999999990001
1,5,33.33333333320002
1,7,16.666666666500017
1,8,13.888888888720018
1,9,11.11111111094002
1,10,8.33333333316002
1,11,5.55555555538002
1,13,2.7777777776000203
1,14,2.31481481463702
1,15,1.85185185167402
1,16,1.38888888871102
1,17,0.92592592574802
1,19,0.46296296278502
1,20,0.38580246895782
1,21,0.30864197513061997
1,22,0.23148148130341997
1,23,0.15432098747621997
1,25,0.07716049364901997
1,26,0.06430041134451997
1,27,0.051440329040019966
1,28,0.03858024673551996
1,29,0.025720164431019963
1,31,0.012860082126519963
1,32,0.010716735075769963
1,33,0.008573388025019963
1,34,0.006430040974269963
1,35,0.004286693923519963
1,36,0.002143346872769963
2,2,100
2,3,97.22222222222
2,4,91.66666666665999
2,5,83.33333333332999
2,6,72.22222222222999
2,7,58.33333333332999
2,8,44.44444444442999
2,9,32.870370370329994
2,10,23.611111111069995
2,11,16.666666666629993
2,12,12.037037036999994
2,13,9.722222222189995
2,14,7.407407407379995
2,15,5.478395061699995
2,16,3.9351851851599955
2,17,2.7777777777499955
2,18,2.0061728394779954
2,19,1.6203703703419954
2,20,1.2345679012059954
2,21,0.9130658435929954
2,22,0.6558641975019954
2,23,0.4629629629339954
2,24,0.33436213988899544
2,25,0.2700617283663954
2,26,0.2057613168437954
2,27,0.15217764057489538
2,28,0.10931069955979539
2,29,0.07716049379849538
2,30,0.05572702329099538
2,31,0.04501028803719538
2,32,0.03429355278339538
2,33,0.025362940071915384
2,34,0.018218449902735384
2,35,0.012860082275845383
2,36,0.009287837191255383
2,37,0.007501714648955383
2,38,0.005358367598205383
2,39,0.0035722450559053827
2,40,0.002143347022065383
2,41,0.001071673496685383
2,42,0.0003572244797673829
3,3,100
3,4,99.537037037037
3,5,98.148148148147
3,6,95.370370370367
3,7,90.740740740737
3,8,83.796296296297
3,9,74.537037037037
3,10,63.811728395036994
3,11,52.469135802436995
3,12,41.35802469133699
3,13,31.327160493836992
3,14,23.22530864198699
3,15,17.05246913581699
3,16,12.487139917706992
3,17,9.207818930056993
3,18,6.893004115246993
3,19,5.221193415656993
3,20,3.870884773676993
3,21,2.842078189316993
3,22,2.081189986298993
3,23,1.534636488356993
3,24,1.148834019220993
3,25,0.8701989026229929
3,26,0.6451474622939929
3,27,0.4736796982339929
3,28,0.3468649977309929
3,29,0.2557727480738929
3,30,0.19147233655129287
3,31,0.14503315045159287
3,32,0.10752457706339287
3,33,0.07894661638669287
3,34,0.05781083296949287
3,35,0.04262879135999287
3,36,0.03191205610619287
3,37,0.02417219175624287
3,38,0.01792076285821287
3,39,0.013098231994012869
3,40,0.00946644949134287
