DICE_COUNT, MAX_VAL, PROBABILITY 
1,1,16.6666666667
1,2,33.3333333334
1,3,50.0000000001
1,4,66.6666666668
1,5,83.3333333335
1,7,86.11111111128
1,8,88.88888888906
1,9,91.66666666684
1,10,94.44444444462
1,11,97.2222222224
1,13,97.68518518536301
1,14,98.14814814832602
1,15,98.61111111128902
1,16,99.07407407425202
1,17,99.53703703721503
1,19,99.61419753104222
1,20,99.69135802486942
1,21,99.76851851869661
1,22,99.8456790125238
1,23,99.922839506351
1,25,99.9356995886555
1,26,99.94855967096
1,27,99.9614197532645
1,28,99.97427983556899
1,29,99.98713991787349
1,31,99.98928326492424
1,32,99.99142661197499
1,33,99.99356995902573
1,34,99.99571330607648
1,35,99.99785665312723
1,36,100.00000000017798
2,2,2.77777777778
2,3,8.33333333334
2,4,16.66666666667
2,5,27.777777777769998
2,6,41.66666666667
2,7,55.555555555569995
2,8,67.12962962966999
2,9,76.38888888893
2,10,83.33333333336999
2,11,87.962962963
2,12,90.27777777781
2,13,92.59259259262001
2,14,94.5216049383
2,15,96.06481481484
2,16,97.22222222225001
2,17,97.99382716052202
2,18,98.37962962965801
2,19,98.76543209879401
2,20,99.08693415640701
2,21,99.34413580249802
2,22,99.53703703706601
2,23,99.66563786011102
2,24,99.72993827163361
2,25,99.79423868315621
2,26,99.84782235942511
2,27,99.89068930044021
2,28,99.92283950620151
2,29,99.94427297670902
2,30,99.95498971196281
2,31,99.9657064472166
2,32,99.97463705992809
2,33,99.98178155009727
2,34,99.98713991772415
2,35,99.99071216280873
2,36,99.99249828535103
2,37,99.99464163240178
2,38,99.99642775494408
2,39,99.99785665297792
2,40,99.99892832650329
2,41,99.9996427755202
2,42,100.00000000002866
3,3,0.462962962963
3,4,1.851851851853
3,5,4.6296296296329995
3,6,9.259259259263
3,7,16.203703703703
3,8,25.462962962962997
3,9,36.188271604963
3,10,47.530864197563
3,11,58.641975308663
3,12,68.672839506163
3,13,76.774691358013
3,14,82.947530864183
3,15,87.51286008229299
3,16,90.79218106994298
3,17,93.10699588475299
3,18,94.77880658434299
3,19,96.129115226323
3,20,97.15792181068299
3,21,97.91881001370099
3,22,98.46536351164299
3,23,98.85116598077899
3,24,99.12980109737698
3,25,99.35485253770598
3,26,99.52632030176598
3,27,99.65313500226898
3,28,99.74422725192608
3,29,99.80852766344867
3,30,99.85496684954838
3,31,99.89247542293657
3,32,99.92105338361327
3,33,99.94218916703046
3,34,99.95737120863997
3,35,99.96808794389376
3,36,99.97582780824371
3,37,99.98207923714173
3,38,99.98690176800594
3,39,99.9905335505086
3,40,99.99321273432204
3,41,99.99517746911856
3,42,99.99666590457046
3,43,99.99791619035007
3,44,99.99880925162121
3,45,99.99940462580197
3,46,99.99976185031043
3,47,99.99994046256467
3,48,99.99999999998275
4,4,0.0771604938272
4,5,0.3858024691362
4,6,1.1574074074082001
4,7,2.7006172839482003
4,8,5.4012345678982
4,9,9.6450617283882
4,10,15.599279835388199
4,11,23.2124485596682
4,12,32.2145061728382
4,13,42.1167695473282
4,14,52.2119341564282
4,15,61.792695473298195
4,16,70.3467935528582
4,17,77.5570130315982
4,18,83.3011831276182
4,19,87.6521776406482
4,20,90.87791495203821
4,21,93.24631344311821
4,22,94.9806384316882
4,23,96.25950217196821
4,24,97.2168638546382
4,25,97.94202960681021
4,26,98.47965249204121
4,27,98.8743855738882
4,28,99.1634397386492
4,29,99.37658369536321
4,30,99.53614397580822
4,31,99.65700493450322
4,32,99.74660874870843
4,33,99.81239759568292
4,34,99.86057328980982
4,35,99.89609728259552
4,36,99.92269066266972
4,37,99.94283415578562
4,38,99.95776812481982
4,39,99.96874285555192
4,40,99.97680025279827
4,41,99.98277384041195
4,42,99.98728876128276
4,43,99.99076177733721
4,44,99.99340126953861
4,45,99.99538585014116
4,46,99.99686436269006
4,47,99.99795588202146
4,48,99.99874971426247
4,49,99.99930539683119
4,50,99.99965269843663
4,51,99.99985115649689
4,52,99.99995038552701
4,53,99.99999007713906
4,54,100.00000000004208
5,5,0.0128600823045
5,6,0.07716049382710001
5,7,0.2700617283951
5,8,0.7201646090531
5,9,1.6203703703701
5,10,3.2278806584401
5,11,5.8149005487001
5,12,9.619341563790101
5,13,14.7955246913601
5,14,21.3648834019201
5,15,29.1666666666701
5,16,37.8579389574801
5,17,46.9825245770501
5,18,56.0399519890301
5,19,64.5543981481501
5,20,72.1436328303601
5,21,78.5879629629601
5,22,83.8302326246001
5,23,87.9358734377401
5,24,91.0529549611401
5,25,93.3722350823101
5,26,95.0872104100001
5,27,96.3541666666701
5,28,97.2921786884651
5,29,97.9893122396261
5,30,98.50882582685911
5,31,98.89537251372111
5,32,99.18120173500311
5,33,99.39236111111411
5,34,99.54869644808011
5,35,99.66488537327311
5,36,99.75147097114521
5,37,99.8158954189555
5,38,99.8635336225026
5,39,99.8987268518545
5,40,99.924784395166
5,41,99.9441555556641
5,42,99.95860164863349
5,43,99.96936799840229
5,44,99.97735593532757
5,45,99.9832947927807
5,46,99.9877352918789
5,47,99.99107931019421
5,48,99.99360965046246
5,49,99.9955198092924
5,50,99.99694374587473
5,51,99.99798565069108
5,52,99.99872986841703
5,53,99.99924420555652
5,54,99.99958323807613
5,55,99.9997916190394
5,56,99.99990738624122
5,57,99.99996526984212
5,58,99.99999007709965
5,59,99.99999834618549
5,60,100.00000000000266
6,6,0.00214334705075
6,7,0.01500342935525
6,8,0.06001371742105
6,9,0.18004115226305
6,10,0.45010288065805
6,11,0.98808299039705
6,12,1.95508973479605
6,13,3.54545324645605
6,14,5.9663637402860505
6,15,9.407150205766051
6,16,13.99819958848605
6,17,19.76987597165605
6,18,26.631146643046048
6,19,34.36791504725605
6,20,42.66106062338605
6,21,51.12418552812605
6,22,59.361068244176046
6,23,67.02311718869605
6,24,73.84867533214604
6,25,79.68417582749605
6,26,84.48714864985605
6,27,88.31107824646605
6,28,91.27211219708606
6,29,93.51576987439606
6,30,95.19134300804606
6,31,96.43398815233606
6,32,97.35451105757106
6,33,98.03684294507106
6,34,98.54320868581206
6,35,98.91929497908106
6,36,99.19855716802206
6,37,99.40566469207006
6,38,99.55908517627606
6,39,99.67280715752605
6,40,99.75720144764955
6,41,99.81988277216395
6,42,99.86642780256246
6,43,99.90094958214385
6,44,99.92652834538495
6,45,99.94549873085575
6,46,99.95959338767675
6,47,99.97008520379555
6,48,99.97790582955056
6,49,99.98374049652206
6,50,99.98809913167041
6,51,99.99136376676161
6,52,99.99381224308001
6,53,99.99564467250303
6,54,99.99700548839675
6,55,99.99800108633237
6,56,99.99871305462354
6,57,99.99920699468461
6,58,99.99953693120979
6,59,99.99974696599023
6,60,99.99987265609505
6,61,99.99994211641614
6,62,99.99997684657669
6,63,99.99999228220359
6,64,99.99999807056368
6,65,99.99999972438084
6,66,100.00000000001704
7,7,0.000357224508459
7,8,0.002857796067669
7,9,0.012860082304569
7,10,0.042866941015169
7,11,0.117884087791569
7,12,0.282564586191569
7,13,0.608055650815569
7,14,1.196463953665569
7,15,2.180855624142569
7,16,3.718707133062569
7,17,5.976723251032569
7,18,9.107022081242569
7,19,13.219698232612568
7,20,18.356775199412567
7,21,24.472558013262567
7,22,31.425397233652568
7,23,38.985875342932566
7,24,46.861415545772566
7,25,54.73100366062256
7,26,62.28371379066256
7,27,69.25472846174256
7,28,75.45254391480256
7,29,80.77105124028256
7,30,85.18649335456256
7,31,88.74360463388255
7,32,91.53524002135255
7,33,93.67980042263255
7,34,95.30076120573256
7,35,96.51261062052255
7,36,97.41319813796954
7,37,98.08106716463155
7,38,98.57634658792055
7,39,98.94377560770455
7,40,99.21643630978055
7,41,99.41876843675355
7,42,99.56886640226756
7,43,99.68017817469055
7,44,99.76272565636945
7,45,99.82396618455425
7,46,99.86941478010915
7,47,99.90314677011365
7,48,99.92818050871895
7,49,99.94676017988365
7,50,99.96055866561335
7,51,99.97082046332766
7,52,99.97846463597864
7,53,99.98416777854585
7,54,99.98842768999711
7,55,99.99161096647147
7,56,99.99398773143984
7,57,99.9957567185987
7,58,99.99706392325253
7,59,99.99801803794082
7,60,99.99870175352203
7,61,99.99917961480507
7,62,99.99950311981904
7,63,99.99971375181123
7,64,99.9998446330644
7,65,99.99992148962338
7,66,99.99996361602182
7,67,99.99998484000882
7,68,99.99999448727564
7,69,99.99999834618237
7,70,99.9999996324846
7,71,99.99999995406016
7,72,99.99999999999952
8,8,0.0000595374180765
8,9,0.0005358367626885
8,10,0.0026791838134385
8,11,0.0098236739826185
8,12,0.029471021947818497
8,13,0.0765651196463185
8,14,0.1778481906973185
8,15,0.3767825502973185
8,16,0.7381151406033185
8,17,1.3507551726103184
8,18,2.327228366483318
8,19,3.797971282323318
8,20,5.899911712623318
8,21,8.759963586913319
8,22,12.475247318433318
8,23,17.093029001863318
8,24,22.59455435051332
8,25,28.88695326127332
8,26,35.80550416594332
8,27,43.12666059782332
8,28,50.59035567257332
8,29,57.928213452763316
8,30,64.89240943565332
8,31,71.27992240378332
8,32,76.94868923266331
8,33,81.82394360444331
8,34,85.89478893126332
8,35,89.20282514642332
8,36,91.82641837646332
8,37,93.86420250703333
8,38,95.42044626216332
8,39,96.59396402325332
8,40,97.47129322076432
8,41,98.12390573810532
8,42,98.60826537414432
